"No.","Zone Name","Zone Channel Member","Zone Channel Member RX Frequency","Zone Channel Member TX Frequency","A Channel","A Channel RX Frequency","A Channel TX Frequency","B Channel","B Channel RX Frequency","B Channel TX Frequency"
"11","SV3O","SV3O-202|SV3O-8|SV3O-9|SV3O-4048|SV3O-4148|SV3O-4240|SV3O-4241|SV3O-4242|SV3O-4243|SV3O- 4244|SV3O-4245|SV3O-4246|SV3O-4247|SV3O-4248|SV3O-4249|SV3O-UNLINK|SV3O-STATUS|SV3O-ECHO","439.23750|439.23750|439.23750|439.23750|439.23750|439.23750|439.23750|439.23750|439.23750|439.23750|439.23750|439.23750|439.23750|439.23750|439.23750|439.23750|439.23750|439.23750","431.63750|431.63750|431.63750|431.63750|431.63750|431.63750|431.63750|431.63750|431.63750|431.63750|431.63750|431.63750|431.63750|431.63750|431.63750|431.63750|431.63750|431.63750","SV3O-202","439.23750","431.63750","SV3O-8","439.23750","431.63750"
"12","SV3P","SV3P-202|SV3P-8|SV3P-9|SV3P-4048|SV3P-4148|SV3P-4240|SV3P-4241|SV3P-4242|SV3P-4243|SV3P- 4244|SV3P-4245|SV3P-4246|SV3P-4247|SV3P-4248|SV3P-4249|SV3P-UNLINK|SV3P-STATUS|SV3P-ECHO","438.83750|438.83750|438.83750|438.83750|438.83750|438.83750|438.83750|438.83750|438.83750|438.83750|438.83750|438.83750|438.83750|438.83750|438.83750|438.83750|438.83750|438.83750","431.23750|431.23750|431.23750|431.23750|431.23750|431.23750|431.23750|431.23750|431.23750|431.23750|431.23750|431.23750|431.23750|431.23750|431.23750|431.23750|431.23750|431.23750","SV3P-202","438.83750","431.23750","SV3P-8","438.83750","431.23750"
"13","SW8P","SW8P-202|SW8P-8|SW8P-9|SW8P-4048|SW8P-4148|SW8P-4240|SW8P-4241|SW8P-4242|SW8P-4243|SW8P- 4244|SW8P-4245|SW8P-4246|SW8P-4247|SW8P-4248|SW8P-4249|SW8P-UNLINK|SW8P-STATUS|SW8P-ECHO","438.93750|438.93750|438.93750|438.93750|438.93750|438.93750|438.93750|438.93750|438.93750|438.93750|438.93750|438.93750|438.93750|438.93750|438.93750|438.93750|438.93750|438.93750","431.33750|431.33750|431.33750|431.33750|431.33750|431.33750|431.33750|431.33750|431.33750|431.33750|431.33750|431.33750|431.33750|431.33750|431.33750|431.33750|431.33750|431.33750","SW8P-202","438.93750","431.33750","SW8P-8","438.93750","431.33750"
"14","SZ7DAK1","SZ7DAK1-202|SZ7DAK1-8|SZ7DAK1-9|SZ7DAK1-4048|SZ7DAK1-4148|SZ7DAK1-4240|SZ7DAK1-4241|SZ7DAK1-4242|SZ7DAK1-4243|SZ7DAK1-4244|SZ7DAK1-4245|SZ7DAK1-4246|SZ7DAK1-4247|SZ7DAK1-4248|SZ7DAK1-4249|SZ7DAK1-STATUS|SZ7DAK1-UNLINK|SZ7DAK1-ECHO","439.31250|439.31250|439.31250|439.31250|439.31250|439.31250|439.31250|439.31250|439.31250|439.31250|439.31250|439.31250|439.31250|439.31250|439.31250|439.31250|439.31250|439.31250","431.71250|431.71250|431.71250|431.71250|431.71250|431.71250|431.71250|431.71250|431.71250|431.71250|431.71250|431.71250|431.71250|431.71250|431.71250|431.71250|431.71250|431.71250","SZ7DAK1-202","439.31250","431.71250","SZ7DAK1-8","439.31250","431.71250"
"15","SV5H","SV5H-202|SV5H-8|SV5H-9|SV5H-4048|SV5H-4148|SV5H-4240|SV5H-4241|SV5H-4242|SV5H-4243|SV5H- 4244|SV5H-4245|SV5H-4246|SV5H-4247|SV5H-4248|SV5H-4249|SV5H-UNLINK|SV5H-STATUS|SV5H-ECHO","438.76250|438.76250|438.76250|438.76250|438.76250|438.76250|438.76250|438.76250|438.76250|438.76250|438.76250|438.76250|438.76250|438.76250|438.76250|438.76250|438.76250|438.76250","431.16250|431.16250|431.16250|431.16250|431.16250|431.16250|431.16250|431.16250|431.16250|431.16250|431.16250|431.16250|431.16250|431.16250|431.16250|431.16250|431.16250|431.16250","SV5H-202","438.76250","431.16250","SV5H-8","438.76250","431.16250"
"16","SV5F","SV5F-202|SV5F-8|SV5F-9|SV5F-4048|SV5F-4148|SV5F-4240|SV5F-4241|SV5F-4242|SV5F-4243|SV5F- 4244|SV5F-4245|SV5F-4246|SV5F-4247|SV5F-4248|SV5F-4249|SV5F-UNLINK|SV5F-STATUS|SV5F-ECHO","438.86250|438.86250|438.86250|438.86250|438.86250|438.86250|438.86250|438.86250|438.86250|438.86250|438.86250|438.86250|438.86250|438.86250|438.86250|438.86250|438.86250|438.86250","431.26250|431.26250|431.26250|431.26250|431.26250|431.26250|431.26250|431.26250|431.26250|431.26250|431.26250|431.26250|431.26250|431.26250|431.26250|431.26250|431.26250|431.26250","SV5F-202","438.86250","431.26250","SV5F-8","438.86250","431.26250"
"17","SV9J","SV9J-202|SV9J-8|SV9J-9|SV9J-4048|SV9J-4148|SV9J-4240|SV9J-4241|SV9J-4242|SV9J-4243|SV9J- 4244|SV9J-4245|SV9J-4246|SV9J-4247|SV9J-4248|SV9J-4249|SV9J-UNLINK|SV9J-STATUS|SV9J-ECHO","438.68750|438.68750|438.68750|438.68750|438.68750|438.68750|438.68750|438.68750|438.68750|438.68750|438.68750|438.68750|438.68750|438.68750|438.68750|438.68750|438.68750|438.68750","431.08750|431.08750|431.08750|431.08750|431.08750|431.08750|431.08750|431.08750|431.08750|431.08750|431.08750|431.08750|431.08750|431.08750|431.08750|431.08750|431.08750|431.08750","SV9J-202","438.68750","431.08750","SV9J-8","438.68750","431.08750"
"18","SZ8SAM","SZ8SAM-202|SZ8SAM-8|SZ8SAM-9|SZ8SAM-4048|SZ8SAM-4148|SZ8SAM-4240|SZ8SAM-4241|SZ8SAM-4242|SZ8SAM-4143|SZ8SAM-4244|SZ8SAM-4245|SZ8SAM-4246|SZ8SAM-4247|SZ8SAM-4248|SZ8SAM-4249|SZ8SAM-STATUS|SZ8SAM-UNLINK|SZ8SAM-ECHO","438.91250|438.91250|438.91250|438.91250|438.91250|438.91250|438.91250|438.91250|438.91250|438.91250|438.91250|438.91250|438.91250|438.91250|438.91250|438.91250|438.91250|438.91250","432.31250|431.31250|431.31250|431.31250|431.31250|431.31250|431.31250|431.31250|431.31250|431.31250|431.31250|431.31250|431.31250|431.31250|431.31250|431.31250|431.31250|431.31250","SZ8SAM-202","438.91250","432.31250","SZ8SAM-8","438.91250","431.31250"
"19","SV9O","SV9O-202|SV9O-8|SV9O-9|SV9O-4048|SV9O-4148|SV9O-4240|SV9O-4241|SV9O-4242|SV9O-4243|SV9O-4244|SV9O-4245|SV9O-4246|SV9O-4247|SV9O-4248|SV9O-4249|SV9O-UNLINK|SV9O-STATUS|SV9O-ECHO","439.03750|439.03750|439.03750|439.03750|439.03750|439.03750|439.03750|439.03750|439.03750|439.03750|439.03750|439.03750|439.03750|439.03750|439.03750|439.03750|439.03750|439.03750","431.43750|431.43750|431.43750|431.43750|431.43750|431.43750|431.43750|431.43750|431.43750|431.43750|431.43750|431.43750|431.43750|431.43750|431.43750|431.43750|431.43750|431.43750","SV9O-202","439.03750","431.43750","SV9O-8","439.03750","431.43750"
"20","SV4R","SV4R-202|SV4R-8|SV4R-9|SV4R-4048|SV4R-4148|SV4R-4240|SV4R-4241|SV4R-4242|SV4R-4243|SV4R-4244|SV4R-4245|SV4R-4246|SV4R-4247|SV4R-4248|SV4R-4249|SV4R-UNLINK|SV4R-STATUS|SV4R-ECHO","438.68750|438.68750|438.68750|438.68750|438.68750|438.68750|438.68750|438.68750|438.68750|438.68750|438.68750|438.68750|438.68750|438.68750|438.68750|438.68750|438.68750|438.68750","431.08750|431.08750|431.08750|431.08750|431.08750|431.08750|431.08750|431.08750|431.08750|431.08750|431.08750|431.08750|431.08750|431.08750|431.08750|431.08750|431.08750|431.08750","SV4R-202","438.68750","431.08750","SV4R-8","438.68750","431.08750"
"21","SV2K","SV2K-202|SV2K-8|SV2K-9|SV2K-4048|SV2K-4148|SV2K-4240|SV2K-4241|SV2K-4242|SV2K-4243|SV2K- 4244|SV2K-4245|SV2K-4246|SV2K-4247|SV2K-4248|SV2K-4249|SV2K-UNLINK|SV2K-STATUS|SV2K-ECHO","438.83750|438.83750|438.83750|438.83750|438.83750|438.83750|438.83750|438.83750|438.83750|438.83750|438.83750|438.83750|438.83750|438.83750|438.83750|438.83750|438.83750|438.83750","431.23750|431.23750|431.23750|431.23750|431.23750|431.23750|431.23750|431.23750|431.23750|431.23750|431.23750|431.23750|431.23750|431.23750|431.23750|431.23750|431.23750|431.23750","SV2K-202","438.83750","431.23750","SV2K-8","438.83750","431.23750"
"22","SW2J","SW2J-202|SW2J-8|SW2J-9|SW2J-4048|SW2J-4148|SW2J-4240|SW2J-4241|SW2J-4242|SW2J-4243|SW2J-4244|SW2J-4245|SW2J-4246|SW2J-4247|SW2J-4248|SW2J-4249|SW2J-ECHO|SW2J-UNLINK|SW2J-STATUS","439.30000|439.30000|439.30000|439.30000|439.30000|439.30000|439.30000|439.30000|439.30000|439.30000|439.30000|439.30000|439.30000|439.30000|439.30000|439.30000|439.30000|439.30000","431.70000|431.70000|431.70000|431.70000|431.70000|431.70000|431.70000|431.70000|431.70000|431.70000|431.70000|431.70000|431.70000|431.70000|431.70000|431.70000|431.70000|431.70000","SW2J-202","439.30000","431.70000","SW2J-8","439.30000","431.70000"
"23","SZRCK","SZ2RCK-202|SZ2RCK-8|SZ2RCK-9|SZ2RCK-4048|SZ2RCK-4148|SZ2RCK-4240|SZ2RCK-4241|SZ2RCK-4142|SZ2RCK-4143|SZ2RCK-4144|SZ2RCK-4245|SZ2RCK-4246|SZ2RCK-4247|SZ2RCK-4248|SZ2RCK-4249|SZ2RCK-STATUS|SZ2RCK-UNLINK|SZ2RCK-ECHO","438.98750|438.98750|438.98750|438.98750|438.98750|438.98750|438.98750|438.98750|438.98750|438.98750|438.98750|438.98750|438.98750|438.98750|438.98750|438.98750|438.98750|438.98750","431.38750|431.38750|431.38750|431.38750|431.38750|431.38750|431.38750|431.38750|431.38750|431.38750|431.38750|431.38750|431.38750|431.38750|431.38750|431.38750|431.38750|431.38750","SZ2RCK-202","438.98750","431.38750","SZ2RCK-8","438.98750","431.38750"
"24","SZ4THE","SZ4THE-202|SZ4THE-8|SZ4THE-9|SZ4THE-4048|SZ4THE-4148|SZ4THE-4240|SZ4THE-4241|SZ4THE-4242|SZ4THE-4243|SZ4THE-4244|SZ4THE-4245|SZ4THE-4246|SZ4THE-4247|SZ4THE-4248|SZ4THE-4249|SZ4THE-STATUS|SZ4THE-UNLINK|SZ4THE-ECHO","438.78750|438.78750|438.78750|438.78750|438.78750|438.78750|438.78750|438.78750|438.78750|438.78750|438.78750|438.78750|438.78750|438.78750|438.78750|438.78750|438.78750|438.78750","431.18750|431.18750|431.18750|431.18750|431.18750|431.18750|431.18750|431.18750|431.18750|431.18750|431.18750|431.18750|431.18750|431.18750|431.18750|431.18750|431.18750|431.18750","SZ4THE-202","438.78750","431.18750","SZ4THE-8","438.78750","431.18750"
"25","SV1U","SV1U-202|SV1U-8|SV1U-9|SV1U-4048|SV1U4148|SV1U-4240|SV1U-4241|SV1U-4242|SV1U-4243|SV1U-4244|SV1U-4245|SV1U-4246|SV1U-4247|SV1U-4248|SV1U-4249|SV1U-UNLINK|SV1U-STATUS|SV1U-ECHO","439.00000|439.00000|439.00000|439.00000|439.00000|439.00000|439.00000|439.00000|439.00000|439.00000|439.00000|439.00000|439.00000|439.00000|439.00000|439.00000|439.00000|439.00000","431.40000|431.40000|431.40000|431.40000|431.40000|431.40000|431.40000|431.40000|431.40000|431.40000|431.40000|431.40000|431.40000|431.40000|431.40000|431.40000|431.40000|431.40000","SV1U-202","439.00000","431.40000","SV1U-8","439.00000","431.40000"
"26","SV1Y","SV1Y-202|SV1Y-8|SV1Y-9|SV1Y-4048|SV1Y-4148|SV1Y-4240|SV1Y-4241|SV1Y-4242|SV1Y-4243|SV1Y-4244|SV1Y-4245|SV1Y-4246|SV1Y-4247|SV1Y-4248|SV1Y-4249|SV1Y-UNLINK|SV1Y-STATUS|SV1Y-ECHO","438.42500|438.42500|438.42500|438.42500|438.42500|438.42500|438.42500|438.42500|438.42500|438.42500|438.42500|438.42500|438.42500|438.42500|438.42500|438.42500|438.42500|438.42500","430.82500|430.82500|430.82500|430.82500|430.82500|430.82500|430.82500|430.82500|430.82500|430.82500|430.82500|430.82500|430.82500|430.82500|430.82500|430.82500|430.82500|430.82500","SV1Y-202","438.42500","430.82500","SV1Y-8","438.42500","430.82500"
"27","SV1N","SV1N-202|SV1N-8|SV1N-9|SV1N-4048|SV1N-4148|SV1N-4240|SV1N-4241|SV1N-4242|SV1N-4243|SV1N-4244|SV1N-4245|SV1N-4246|SV1N-4247|SV1N-4248|SV1N-4249|SV1N-UNLINK|SV1N-STATUS|SV1N-ECHO","439.35000|439.35000|439.35000|439.35000|439.35000|439.35000|439.35000|439.35000|439.35000|439.35000|439.35000|439.35000|439.35000|439.35000|439.35000|439.35000|439.35000|439.35000","431.75000|431.75000|431.75000|431.75000|431.75000|431.75000|431.75000|431.75000|431.75000|431.75000|431.75000|431.75000|431.75000|431.75000|431.75000|431.75000|431.75000|431.75000","SV1N-202","439.35000","431.75000","SV1N-8","439.35000","431.75000"
"28","SZ4KRD","SZ4KRD-202|SZ4KRD-8|SZ4KRD-9|SZ4KRD-4048|SZ4KRD-4148|SZ4KRD-4240|SZ4KRD-4241|SZ4KRD-4242|SZ4KRD-4243|SZ4KRD-4244|SZ4KRD-4245|SZ4KRD-4246|SZ4KRD-4247|SZ4KRD-4248|SZ4KRD-4249|SZ4KRD-UNLINK|SZ4KRD-STATUS|SZ4KRD-ECHO","438.68750|438.68750|438.68750|438.68750|438.68750|438.68750|438.68750|438.68750|438.68750|438.68750|438.68750|438.68750|438.68750|438.68750|438.68750|438.68750|438.68750|438.68750","431.08750|431.08750|431.08750|431.08750|431.08750|431.08750|431.08750|431.08750|431.08750|431.08750|431.08750|431.08750|431.08750|431.08750|431.08750|431.08750|431.08750|431.08750","SZ4KRD-202","438.68750","431.08750","SZ4KRD-8","438.68750","431.08750"
"29","SW2D","SW2D-202|SW2D-8|SW2D-9|SW2D-4048|SW2D-4148|SW2D-4240|SW2D-4241|SW2D-4242|SW2D-4243|SW2D-4244|SW2D-4245|SW2D-4246|SW2D-4247|SW2D-4248|SW2D-4249|SW2D-UNLINK|SW2D-STATUS|SW2D-ECHO","439.05000|439.05000|439.05000|439.05000|439.05000|439.05000|439.05000|439.05000|439.05000|439.05000|439.05000|439.05000|439.05000|439.05000|439.05000|439.05000|439.05000|439.05000","431.45000|431.45000|431.45000|431.45000|431.45000|431.45000|431.45000|431.45000|431.45000|431.45000|431.45000|431.45000|431.45000|431.45000|431.45000|431.45000|431.45000|431.45000","SW2D-202","439.05000","431.45000","SW2D-8","439.05000","431.45000"
"30","SW2E","SW2E-202|SW2E-8|SW2E-9|SW2E-4048|SW2E-4148|SW2E-4240|SW2E-4241|SW2E-4242|SW2E-4243|SW2E-4244|SW2E-4245|SW2E-4246|SW2E-4247|SW2E-4248|SW2E-4249|SW2E-UNLINK|SW2E-STATUS|SW2E-ECHO","439.25000|439.25000|439.25000|439.25000|439.25000|439.25000|439.25000|439.25000|439.25000|439.25000|439.25000|439.25000|439.25000|439.25000|439.25000|439.25000|439.25000|439.25000","431.65000|431.65000|431.65000|431.65000|431.65000|431.65000|431.65000|431.65000|431.65000|431.65000|431.65000|431.65000|431.65000|431.65000|431.65000|431.65000|431.65000|431.65000","SW2E-202","439.25000","431.65000","SW2E-8","439.25000","431.65000"
"31","SW1N","SW1N-202|SW1N-8|SW1N-9|SW1N-4048|SW1N-4148|SW1N-4240|SW1N-4241|SW1N-4242|SW1N-4243|SW1N-4244|SW1N-4245|SW1N-4246|SW1N-4247|SW1N-4248|SW1N-4249|SW1N-UNLINK|SW1N-STATUS|SW1N-ECHO","439.30000|439.30000|439.30000|439.30000|439.30000|439.30000|439.30000|439.30000|439.30000|439.30000|439.30000|439.30000|439.30000|439.30000|439.30000|439.30000|439.30000|439.30000","431.70000|431.70000|431.70000|431.70000|431.70000|431.70000|431.70000|431.70000|431.70000|431.70000|431.70000|431.70000|431.70000|431.70000|431.70000|431.70000|431.70000|431.70000","SW1N-202","439.30000","431.70000","SW1N-8","439.30000","431.70000"
"32","SZ1SV","SZ1SV-202|SZ1SV-8|SZ1SV-9|SZ1SV-4048|SZ1SV-4148|SZ1SV-4240|SZ1SV-4241|SZ1SV-4242|SZ1SV-4243|SZ1SV-4244|SZ1SV-4245|SZ1SV-4246|SZ1SV-4247|SZ1SV-4248|SZ1SV-4249|SZ1SV-UNLINK|SZ1SV-STATUS|SZ1SV-ECHO","439.27500|439.27500|439.27500|439.27500|439.27500|439.27500|439.27500|439.27500|439.27500|439.27500|439.27500|439.27500|439.27500|439.27500|439.27500|439.27500|439.27500|439.27500","431.67500|431.67500|431.67500|431.67500|431.67500|431.67500|431.67500|431.67500|431.67500|431.67500|431.67500|431.67500|431.67500|431.67500|431.67500|431.67500|431.67500|431.67500","SZ1SV-202","439.27500","431.67500","SZ1SV-8","439.27500","431.67500"
"33","SV6G","SV6G-202|SV6G-8|SV6G-9|SV6G-4048|SV6G-4148|SV6G-4240|SV6G-4241|SV6G-4242|SV6G-4243|SV6G-4244|SV6G-4245|SV6G-4246|SV6G-4247|SV6G-4248|SV6G-4249|SV6G-UNLINK|SV6G-STATUS|SV6G-ECHO","438.75000|438.75000|438.75000|438.75000|438.75000|438.75000|438.75000|438.75000|438.75000|438.75000|438.75000|438.75000|438.75000|438.75000|438.75000|438.75000|438.75000|438.75000","431.15000|431.15000|431.15000|431.15000|431.15000|431.15000|431.15000|431.15000|431.15000|431.15000|431.15000|431.15000|431.15000|431.15000|431.15000|431.15000|431.15000|431.15000","SV6G-202","438.75000","431.15000","SV6G-8","438.75000","431.15000"
